date,hometeam,awayteam,fthg,ftag,hs,as,hst,ast,hc,ac,match_result,result_numeric,goal_difference,total_goals,season,league,Date_x,home_form_5,home_avg_goals_scored_5,home_avg_goals_conceded_5,home_avg_gd_5,home_win_streak,home_unbeaten_streak,Date_y,away_form_5,away_avg_goals_scored_5,away_avg_goals_conceded_5,away_avg_gd_5,away_win_streak,away_unbeaten_streak,form_diff,gd_diff,win_streak_diff,form_ratio,gd_ratio,home_advantage_form,momentum_indicator
2018-09-15,Bayern Munich,Leverkusen,3,1,18.0,3.0,5.0,1.0,9.0,1.0,H,1,2,4,2019,Bundesliga 2018 ,2018-09-15,0.0,3.0,0.5,0.0,0,0,2018-09-15,0.0,0.5,2.5,0.0,0,0,0.0,0.0,0,1.0,1.0,0.0,0.0
2018-09-15,Fortuna Dusseldorf,Hoffenheim,2,1,8.0,18.0,4.0,5.0,0.0,9.0,H,1,1,3,2019,Bundesliga 2018 ,2018-09-15,0.0,1.0,1.5,0.0,0,0,2018-09-15,0.0,2.0,2.0,0.0,0,0,0.0,0.0,0,1.0,1.0,0.0,0.0
2018-09-15,Mainz,Augsburg,2,1,22.0,13.0,7.0,4.0,5.0,4.0,H,1,1,3,2019,Bundesliga 2018 ,2018-09-15,0.0,1.0,0.5,0.0,0,0,2018-09-15,0.0,1.5,1.0,0.0,0,0,0.0,0.0,0,1.0,1.0,0.0,0.0
2018-09-15,M'gladbach,Schalke 04,2,1,15.0,15.0,4.0,6.0,6.0,6.0,H,1,1,3,2019,Bundesliga 2018 ,2018-09-15,0.0,1.5,0.5,0.0,0,0,2018-09-15,0.0,0.5,2.0,0.0,0,0,0.0,0.0,0,1.0,1.0,0.0,0.0
2018-09-15,RB Leipzig,Hannover,3,2,15.0,16.0,6.0,8.0,4.0,12.0,H,1,1,5,2019,Bundesliga 2018 ,2018-09-15,0.0,1.0,2.5,0.0,0,0,2018-09-15,0.0,0.5,0.5,0.0,0,0,0.0,0.0,0,1.0,1.0,0.0,0.0
2018-09-15,Wolfsburg,Hertha,2,2,15.0,9.0,6.0,5.0,7.0,2.0,D,0,0,4,2019,Bundesliga 2018 ,2018-09-15,0.0,2.5,1.0,0.0,0,0,2018-09-15,0.0,1.5,0.0,0.0,0,0,0.0,0.0,0,1.0,1.0,0.0,0.0
2018-09-16,Freiburg,Stuttgart,3,3,12.0,11.0,5.0,6.0,5.0,8.0,D,0,0,6,2019,Bundesliga 2018 ,2018-09-16,0.0,0.5,2.5,0.0,0,0,2018-09-16,0.0,0.0,2.0,0.0,0,0,0.0,0.0,0,1.0,1.0,0.0,0.0
2018-09-16,Werder Bremen,Nurnberg,1,1,14.0,11.0,2.0,2.0,4.0,7.0,D,0,0,2,2019,Bundesliga 2018 ,2018-09-16,0.0,1.5,1.0,0.0,0,0,2018-09-16,0.0,0.5,1.0,0.0,0,0,0.0,0.0,0,1.0,1.0,0.0,0.0
2018-09-21,Stuttgart,Fortuna Dusseldorf,0,0,10.0,19.0,1.0,7.0,2.0,9.0,D,0,0,0,2019,Bundesliga 2018 ,2018-09-21,0.0,1.0,2.3333333333333335,0.0,0,0,2018-09-21,0.0,1.3333333333333333,1.3333333333333333,0.0,0,0,0.0,0.0,0,1.0,1.0,0.0,0.0
2018-09-22,Augsburg,Werder Bremen,2,3,21.0,12.0,7.0,7.0,7.0,4.0,A,2,-1,5,2019,Bundesliga 2018 ,2018-09-22,0.0,1.3333333333333333,1.3333333333333333,0.0,0,0,2018-09-22,0.0,1.3333333333333333,1.0,0.0,0,0,0.0,0.0,0,1.0,1.0,0.0,0.0
